Time, Probe0_Pressure, Probe1_Pressure, Probe2_Pressure
1.000455e-02, 1.004448e-01, 1.000000e-01, 1.000000e-01
2.016287e-02, 1.005348e-01, 1.000000e-01, 1.000000e-01
3.007426e-02, 1.006956e-01, 1.000000e-01, 1.000000e-01
4.013850e-02, 1.009627e-01, 1.000000e-01, 1.000000e-01
5.006398e-02, 1.013896e-01, 1.000000e-01, 1.000000e-01
6.017950e-02, 1.021014e-01, 1.000000e-01, 1.000000e-01
7.013218e-02, 1.046550e-01, 1.000000e-01, 1.000000e-01
8.001452e-02, 1.147314e-01, 1.000000e-01, 1.000000e-01
9.010993e-02, 1.528600e-01, 1.000000e-01, 1.000000e-01
1.000749e-01, 3.123773e-01, 1.000001e-01, 1.000000e-01
1.100163e-01, 3.265402e-01, 1.000002e-01, 1.000000e-01
1.200261e-01, 3.366544e-01, 1.000005e-01, 1.000000e-01
1.300129e-01, 3.488129e-01, 9.999993e-02, 1.000000e-01
1.400957e-01, 3.414474e-01, 9.999971e-02, 1.000000e-01
1.500020e-01, 3.161527e-01, 1.000005e-01, 1.000000e-01
1.600553e-01, 2.875757e-01, 1.000038e-01, 1.000000e-01
1.700769e-01, 2.688251e-01, 1.000036e-01, 1.000000e-01
1.802122e-01, 2.454548e-01, 1.000011e-01, 1.000000e-01
1.900063e-01, 2.288946e-01, 1.000039e-01, 1.000000e-01
2.001313e-01, 2.218089e-01, 1.000084e-01, 1.000000e-01
2.102033e-01, 2.046599e-01, 1.000160e-01, 9.999998e-02
2.202330e-01, 1.902941e-01, 1.000152e-01, 9.999997e-02
2.300201e-01, 1.751541e-01, 1.000233e-01, 1.000000e-01
2.400422e-01, 1.621423e-01, 1.000285e-01, 1.000000e-01
2.501706e-01, 1.558487e-01, 1.000364e-01, 1.000000e-01
2.602676e-01, 1.537597e-01, 1.000571e-01, 1.000000e-01
2.701951e-01, 1.473574e-01, 1.001202e-01, 1.000001e-01
2.801038e-01, 1.383284e-01, 1.001987e-01, 1.000000e-01
2.901813e-01, 1.284363e-01, 9.975318e-02, 9.999998e-02
3.003265e-01, 1.198873e-01, 1.006374e-01, 1.000000e-01
3.102626e-01, 1.159770e-01, 1.030714e-01, 1.000002e-01
3.201181e-01, 1.155123e-01, 1.071312e-01, 1.000004e-01
3.303063e-01, 1.147424e-01, 1.176488e-01, 1.000003e-01
3.401422e-01, 1.117089e-01, 1.307918e-01, 1.000001e-01
3.501559e-01, 1.080726e-01, 1.681480e-01, 1.000002e-01
3.601014e-01, 1.061217e-01, 2.348162e-01, 1.000010e-01
3.700573e-01, 1.051242e-01, 2.434859e-01, 1.000012e-01
3.802663e-01, 1.064502e-01, 2.405482e-01, 1.000011e-01
3.900274e-01, 1.077293e-01, 2.376418e-01, 1.000024e-01
4.000940e-01, 1.090153e-01, 2.323911e-01, 1.000040e-01
4.102181e-01, 1.109945e-01, 2.210085e-01, 1.000029e-01
4.200652e-01, 1.099458e-01, 2.073752e-01, 1.000006e-01
4.302816e-01, 1.091303e-01, 1.957078e-01, 1.000017e-01
4.401792e-01, 1.100282e-01, 1.862634e-01, 1.000076e-01
4.501141e-01, 1.100193e-01, 1.788720e-01, 1.000095e-01
4.601205e-01, 1.097768e-01, 1.749283e-01, 1.000079e-01
