# FR-IGR Residual Tracker (Multiblock)
Time, L2_rho, L2_rhou, L2_rhov, L2_E
1.000584e-02, 1.694796e+01, 3.550737e+01, 1.703329e+01, 2.241574e+02
2.000437e-02, 3.929400e+01, 3.380975e+01, 2.061404e+01, 4.206606e+02
3.003754e-02, 2.366447e+01, 4.043606e+01, 2.700816e+01, 3.039103e+02
4.000631e-02, 4.937001e+01, 7.412809e+01, 2.787029e+01, 6.550192e+02
5.003896e-02, 2.459013e+01, 3.921958e+01, 3.659666e+01, 2.926690e+02
6.001874e-02, 4.237855e+01, 6.634136e+01, 3.802900e+01, 5.460833e+02
7.002112e-02, 2.788247e+01, 4.688403e+01, 4.194019e+01, 3.305137e+02
8.002672e-02, 4.190044e+01, 6.874305e+01, 4.554573e+01, 5.412620e+02
9.004269e-02, 2.803815e+01, 4.634968e+01, 4.507472e+01, 3.179136e+02
1.000000e-01, 3.639498e+01, 5.423498e+01, 4.872947e+01, 4.258548e+02
1.100203e-01, 3.254794e+01, 5.336804e+01, 5.350408e+01, 3.751820e+02
1.200143e-01, 3.230645e+01, 4.820915e+01, 5.222331e+01, 3.458889e+02
1.300177e-01, 3.466389e+01, 5.543705e+01, 5.784721e+01, 3.915327e+02
1.400483e-01, 3.094081e+01, 5.237499e+01, 5.604564e+01, 3.387747e+02
1.500201e-01, 2.987776e+01, 5.023950e+01, 5.487147e+01, 3.135347e+02
1.600371e-01, 3.661576e+01, 5.486242e+01, 5.857427e+01, 3.938512e+02
1.700454e-01, 3.196384e+01, 5.242025e+01, 5.280255e+01, 3.371231e+02
1.800309e-01, 3.192087e+01, 5.671394e+01, 6.025302e+01, 3.326505e+02
1.900169e-01, 3.039803e+01, 5.469100e+01, 5.680754e+01, 3.092995e+02
2.000542e-01, 3.227517e+01, 5.351095e+01, 5.273225e+01, 3.150409e+02
2.100433e-01, 3.527180e+01, 5.966725e+01, 6.113382e+01, 3.549605e+02
2.200306e-01, 3.365568e+01, 5.822688e+01, 5.703226e+01, 3.342497e+02
2.300252e-01, 3.276371e+01, 5.799960e+01, 5.588784e+01, 3.235751e+02
2.400280e-01, 3.001472e+01, 5.556324e+01, 5.000756e+01, 2.939553e+02
2.500341e-01, 3.142290e+01, 6.236027e+01, 5.762203e+01, 3.133150e+02
2.600164e-01, 2.988691e+01, 5.681970e+01, 5.121484e+01, 2.844143e+02
2.700464e-01, 3.447201e+01, 6.272451e+01, 5.831412e+01, 3.286275e+02
2.800450e-01, 3.354736e+01, 5.695988e+01, 5.268656e+01, 3.132308e+02
2.900196e-01, 3.474316e+01, 6.196032e+01, 5.576591e+01, 3.316074e+02
3.000542e-01, 3.264310e+01, 5.913503e+01, 5.145277e+01, 3.095457e+02
3.100288e-01, 3.364579e+01, 6.518560e+01, 6.023071e+01, 3.288741e+02
3.200501e-01, 3.196825e+01, 6.149479e+01, 5.348814e+01, 3.083399e+02
3.300392e-01, 3.188165e+01, 5.993391e+01, 5.288062e+01, 3.046480e+02
3.400467e-01, 3.269543e+01, 6.610032e+01, 5.743493e+01, 3.204815e+02
3.500519e-01, 3.190609e+01, 6.396449e+01, 5.801904e+01, 3.108201e+02
3.600441e-01, 2.981034e+01, 6.119319e+01, 5.050466e+01, 2.838873e+02
3.700113e-01, 3.263748e+01, 6.369374e+01, 5.533240e+01, 3.040517e+02
